tf,substrate,source,yeastract_sign,in_teufel
MSN2,NOP14,teufel,NA,1
RPN4,RPN5,teufel,both,1
RPN4,YDL144C,teufel,both,1
HIR2,CCT4,teufel,NA,1
REB1,RPO21,teufel,+,1
RAP1,RPO21,teufel,NA,1
YRM1,RPO21,teufel,NA,1
ABF1,RGT2,teufel,+,1
MSN2,ARF2,teufel,NA,1
PHD1,RPL35B,teufel,NA,1
SFP1,RPL35B,teufel,NA,1
OTU1,RDI1,teufel,NA,1
STE12,RDI1,teufel,NA,1
RAP1,RPL41B,teufel,both,1
MSN2,CDC53,teufel,NA,1
ABF1,STF1,teufel,NA,1
IFH1,RPP1B,teufel,NA,1
SFP1,RPP1B,teufel,NA,1
MSN2,RPP1B,teufel,NA,1
RAP1,RPP1B,teufel,+,1
STE12,VCX1,teufel,NA,1
RAP1,VCX1,teufel,NA,1
TEC1,PCL2,teufel,-,1
SWI5,PCL2,teufel,+,1
SWI4,PCL2,teufel,+,1
STE12,PCL2,teufel,both,1
ACE2,PCL2,teufel,NA,1
YOX1,PCL2,teufel,NA,1
MSN2,CDC48,teufel,NA,1
RAP1,CDC48,teufel,-,1
ABF1,HNT1,teufel,NA,1
YAP1,YDL124W,teufel,NA,1
YOX1,YDL124W,teufel,NA,1
MSN2,YDL124W,teufel,NA,1
YAP1,YDL121C,teufel,NA,1
TYE7,YDL121C,teufel,NA,1
SWI5,YDL119C,teufel,NA,1
SWI5,CYK3,teufel,NA,1
CAD1,TMA17,teufel,NA,1
FKH2,TMA17,teufel,-,1
MBP1,DUN1,teufel,-,1
SWI6,DUN1,teufel,NA,1
RPN4,RPN6,teufel,both,1
HSF1,UBX3,teufel,NA,1
STE12,RAM1,teufel,NA,1
STE12,ASM4,teufel,NA,1
HAP2,SUB2,teufel,+,1
GCR1,SUB2,teufel,+,1
CBF1,RPS16B,teufel,both,1
IFH1,RPS16B,teufel,NA,1
SFP1,RPS16B,teufel,NA,1
RAP1,RPS16B,teufel,+,1
FHL1,RPS16B,teufel,NA,1
IFH1,RPL13A,teufel,NA,1
SFP1,RPL13A,teufel,NA,1
RAP1,RPL13A,teufel,+,1
ABF1,RPP1A,teufel,+,1
RAP1,RPP1A,teufel,+,1
OAF1,MDH3,teufel,NA,1
SFP1,RXT3,teufel,NA,1
IFH1,RPL31A,teufel,NA,1
GCR2,RPL31A,teufel,NA,1
RAP1,RPL31A,teufel,+,1
FHL1,YET3,teufel,NA,1
ABF1,BDF2,teufel,-,1
HAP2,COX9,teufel,-,1
