substrate,tf,alpha
CLB6,MBP1,0.022934
CLB6,STB1,0.000000
CLB6,STE12,0.371671
CLB6,SWI4,0.135395
CLB6,YOX1,0.000000
CLD1,CBF1,-0.211150
CLD1,STE12,-0.003489
CLD1,SWI4,-0.217396
CLN1,FLO8,0.000000
CLN1,RAP1,-0.058388
CLN1,SKN7,0.000000
CLN1,SOK2,0.014665
CLN1,STE12,0.129559
CLN1,SWI4,0.408628
CLN1,TEC1,0.207526
CLN2,SKN7,0.004305
CLN2,STE12,0.493318
CLN2,SWI4,0.199860
CLN2,XBP1,0.000000
CLN2,YOX1,-0.006958
CLN3,AZF1,-0.297698
CLN3,MCM1,0.139989
CLN3,RAP1,0.225365
CLN3,STE12,0.000000
CLN3,SWI4,-0.284774
CMD1,CST6,0.112772
CMD1,RPN4,-0.102241
CMK2,OAF1,-0.077704
CMK2,YAP1,0.000000
CMR1,YHP1,-0.249060
CMR3,CAD1,-0.216307
CMR3,CIN5,-0.092319
CMR3,FLO8,0.082797
