substrate,q_x,boot_robust_frac,mean_n_sources,transfer_r_median,repressor_score,carries_repressor,n_repressor_edges,n_edges,n_robust_edges,periodicity_pvalue,score,tier,reason,apply_multiplier,recommended_fallback
GTT1,0.6242,1.0000,1.0000,-0.0258,1.0000,false,0,1,1,0.000317812,0.5915,USE,,true,none
GTT2,0.0021,0.5000,1.5000,-0.3382,1.0000,false,0,2,1,352.224,0.4004,DO-NOT-USE,non-periodic,false,flat_M1
GTT3,0.9733,0.5000,1.0000,0.6221,1.0000,false,0,2,1,8.68651e-11,0.6857,USE,,true,none
GUA1,0.0635,1.0000,0.0000,0.3400,1.0000,false,0,1,1,5.72907,0.4807,DO-NOT-USE,non-periodic,false,flat_M1
GUF1,0.7935,1.0000,0.0000,-0.4454,1.0000,false,0,1,1,0.0070241,0.5587,USE,,true,none
GUP1,0.1080,1.0000,2.0000,0.2127,1.0000,false,0,1,1,171.552,0.5975,DO-NOT-USE,non-periodic,false,flat_M1
GUT1,0.4176,0.5000,2.0000,-0.1055,1.0000,false,0,2,1,0.278546,0.5169,DO-NOT-USE,non-periodic,false,flat_M1
GUT2,0.7041,0.5000,1.0000,-0.3333,1.0000,false,0,2,1,0.4375,0.5075,DO-NOT-USE,non-periodic,false,flat_M1
GVP36,0.0121,1.0000,1.0000,-0.4294,1.0000,false,0,1,1,88.3144,0.4691,DO-NOT-USE,non-periodic,false,flat_M1
GYL1,0.1222,1.0000,1.0000,-0.1314,1.0000,false,0,1,1,21.1817,0.4911,DO-NOT-USE,non-periodic,false,flat_M1
GYP1,0.6984,0.0000,1.5000,0.2237,1.0000,false,0,2,0,0.0391713,0.4844,CAUTION,,false,damped
GYP5,0.7600,1.0000,2.0000,-0.1034,1.0000,false,0,1,1,2.80013e-05,0.6853,USE,,true,none
GYP8,0.9130,1.0000,1.0000,-0.2425,1.0000,false,0,1,1,5.71382e-07,0.6493,USE,,true,none
GZF3,0.5289,1.0000,2.0000,-0.0404,1.0000,false,0,1,1,0.0279711,0.6391,USE,,true,none
HAA1,0.9099,0.0000,1.5000,0.0378,1.0000,false,0,2,0,1.67157e-07,0.4895,CAUTION,,false,damped
HAC1,0.4769,0.3333,1.6667,0.0313,1.0000,false,0,3,1,0.00156859,0.4794,CAUTION,,false,damped
HAL5,0.0675,1.0000,0.0000,-0.1482,1.0000,false,0,1,1,29.4441,0.4135,DO-NOT-USE,non-periodic,false,flat_M1
HAP1,0.7117,0.0000,1.0000,-0.1847,1.0000,false,0,2,0,3.18944e-05,0.4090,CAUTION,,false,damped
HAS1,0.7696,1.0000,2.0000,0.5217,1.0000,false,0,1,1,1.57793e-06,0.7916,USE,,true,none
