substrate,tf,alpha
ATH1,STE12,-0.046835
ATM1,CBF1,-0.030967
ATO2,STE12,-0.059984
ATO3,ABF1,0.029868
ATO3,ADR1,-0.293075
ATO3,CAT8,0.000000
ATO3,SOK2,0.157958
ATO3,STE12,0.000000
ATP14,HAP2,0.000000
ATP14,HAP4,0.370504
ATP14,SOK2,0.084861
ATP15,HAP2,-0.161645
ATP15,HAP4,0.528215
ATP16,CIN5,0.000000
ATP16,HAP4,0.226248
ATP16,MBP1,0.000000
ATP16,PHO4,0.154707
ATP17,ARO80,-0.031999
ATP17,HAP4,0.177570
ATP2,HAP2,-0.214596
ATP2,HAP4,0.163189
ATP2,RDS2,0.000000
ATP20,HAP2,-0.052864
ATP20,HAP4,0.496872
ATP25,BAS1,0.000000
ATP25,STE12,-0.185727
ATP3,HAP4,0.076676
ATP3,HAP5,-0.045583
ATP5,HAP4,0.191033
ATP7,CBF1,0.124799
ATP7,GCN4,0.181908
ATP7,HAP4,0.337464
ATP7,RAP1,0.000000
ATP7,RPN4,0.002659
ATR1,CIN5,0.000000
ATR1,FHL1,-0.001490
ATR1,GCN4,0.143621
ATR1,MSN2,0.000000
ATR1,MSN4,0.000000
ATR1,PHD1,0.103886
ATR1,PUT3,0.067059
ATR1,RIM101,0.000000
ATR1,YAP1,0.000000
ATX1,AFT2,0.000000
ATX1,CBF1,0.142977
ATX1,PUT3,0.292162
AVL9,STE12,-0.009607
AVL9,UME6,-0.028310
AVT4,RAP1,0.041692
AVT6,RAP1,-0.068439
AVT6,STE12,0.000788
AVT7,YRM1,0.055670
AXL2,MSS11,0.000000
AXL2,STE12,0.105984
AXL2,TEC1,0.178967
AXL2,YOX1,0.402684
AZR1,YAP1,-0.040712
BAP2,DAL81,0.000000
BAP2,GCN4,0.000000
BAP2,MSN2,-0.019619
BAP2,RAP1,0.233085
BAP2,SFP1,0.024822
BAP2,SOK2,-0.164547
BAP2,STP1,-0.056976
BAP2,STP2,-0.194542
BAP3,ABF1,0.000000
BAP3,MSN2,-0.332016
BAP3,RAP1,0.239405
BAP3,STP1,0.000000
BAR1,MCM1,0.000000
BAR1,STE12,0.000000
BAR1,SWI5,0.128274
BAR1,SWI6,0.000000
BAR1,TEC1,0.034050
BAS1,SIP4,0.014764
BAT1,PHD1,-0.028637
BAT2,ABF1,0.000000
BAT2,ACE2,0.000000
BAT2,ADR1,0.000000
BAT2,CIN5,0.234125
BAT2,GLN3,0.000000
BAT2,HMS2,0.000000
BAT2,RDS2,0.000000
BAT2,RTG3,-0.042447
BAT2,SKN7,0.000000
BAT2,STB5,0.128422
BAT2,TEC1,-0.269466
BAT2,TOS8,-0.024977
BBP1,STE12,0.095260
BCP1,YAP1,-0.065024
BCY1,RAP1,0.014968
BCY1,UME6,0.162855
BDF2,ABF1,0.017546
BDH1,ABF1,-0.062013
BDH1,BAS1,0.111722
BDH1,MSN2,0.000000
BDH2,ABF1,-0.047649
BDH2,MET32,0.000000
BDH2,MSN2,0.000000
BDH2,PDR1,0.295581
BDH2,PDR3,0.014832
BDH2,SOK2,-0.110270
BDH2,STE12,0.073571
BDS1,HCM1,-0.235215
BDS1,MET32,0.066307
BDS1,MET4,0.000000
BEM2,LEU3,0.000000
BEM2,STE12,0.118982
BEM2,SWI5,0.379303
BEM2,TEC1,0.148487
BEM4,CIN5,-0.082080
BFR1,YAP5,-0.158942
BIG1,ABF1,0.077439
BIG1,MET32,0.000000
BIR1,ABF1,0.229145
BIT61,ABF1,-0.070362
BMH1,ACE2,0.213473
BMH1,GCR1,-0.189866
BMH1,STB5,0.019727
BNA1,GCN4,0.000000
BNA1,RAP1,-0.509414
BNA1,STE12,-0.372905
BNA1,SUM1,0.000000
BNA1,TEC1,0.000000
BNA2,ABF1,0.000000
BNA2,FHL1,-0.092950
BNA2,HAP3,0.000000
BNA2,MSN2,0.000000
BNA2,SUM1,-0.319715
BNA3,CBF1,0.000000
BNA3,FLO8,0.000000
BNA3,MCM1,0.045570
BNA3,MET31,0.000000
BNA3,MET32,0.017841
BNA4,YHP1,0.058593
BNA5,ABF1,-0.013641
BNA5,RAP1,-0.178926
BNR1,STE12,0.038810
BNS1,CIN5,-0.263359
BNS1,STE12,-0.249119
BNS1,TEC1,-0.076390
BOI1,STE12,0.315802
BOS1,YRM1,-0.094234
BPH1,YOX1,-0.174181
BPT1,TEC1,-0.093480
BRX1,ABF1,0.372471
BRX1,DAL82,0.000000
BSC1,AZF1,0.000000
BSC1,RLM1,0.094310
BSC1,SKO1,-0.017617
BSC1,SOK2,-0.062438
BSC1,TUP1,0.000000
BSC2,HSF1,-0.108595
BSC2,RAP1,0.000000
BSC5,GCN4,-0.101574
BSC5,HSF1,0.081592
BSC5,NRG1,0.000000
BSC5,YAP1,0.000000
BSC6,RAP1,-0.036285
BSP1,PDR1,0.195785
BUB2,FHL1,0.087800
BUB3,HSF1,-0.120960
BUD20,MSN2,0.000000
BUD20,RAP1,0.000000
BUD20,YAP1,0.000000
BUD20,YOX1,-0.056031
BUD21,ABF1,0.198278
BUD21,DAL82,0.000000
BUD22,RAP1,0.039488
BUD26,STE12,0.140729
BUD27,ABF1,0.131043
BUD27,PDR1,0.000000
BUD27,RAP1,0.003063
BUD27,REB1,0.018909
BUD27,STB5,0.000000
BUD3,YAP1,-0.076796
BUD31,MSN2,0.272083
BUD4,ASH1,0.000000
BUD4,STE12,0.042530
BUD9,ACE2,0.255129
BUD9,FKH1,0.000000
BUD9,MBP1,0.000000
BUD9,MCM1,0.000000
BUD9,SOK2,-0.024828
BUD9,STE12,0.295577
BUD9,SWI4,0.007741
BUR6,MCM1,-0.226647
BUR6,MSN2,0.299271
BUR6,YOX1,0.068351
BXI1,SFP1,-0.000417
BXI1,SPT23,0.000000
BYE1,ABF1,-0.006676
CAB2,MSN2,-0.233398
CAB4,STB1,-0.270427
CAF120,RAP1,0.000000
CAF120,STE12,0.090045
CAF16,GCN4,0.082376
CAF16,MCM1,-0.153486
CAF40,RAP1,0.000000
CAF40,STE12,0.019412
CAJ1,CIN5,0.065528
CAM1,PHD1,-0.098971
CAN1,DAL80,0.364095
CAN1,GCN4,0.022797
CAP1,MSS11,0.000000
CAP1,PDR3,0.014757
CAP1,SKO1,0.000000
CAR1,ABF1,0.000000
CAR1,ARG80,-0.022693
CAR1,ARG81,0.000000
CAR1,GCN4,0.055418
CAR1,GLN3,-0.149747
CAR1,MCM1,-0.016488
CAR1,MSN2,-0.037267
CAR1,RAP1,0.037143
CAR1,SWI4,-0.105278
CAR2,ADR1,0.015600
CAR2,ARG80,-0.077106
CAR2,ARG81,0.000000
CAR2,DAL82,-0.092438
CAR2,MCM1,-0.175825
CAR2,RAP1,0.169429
CAR2,UME6,0.114685
CAT2,ADR1,0.088373
CAT2,BAS1,-0.164854
CAT2,UME6,0.000000
CAT8,AFT1,-0.055008
CAT8,SOK2,0.009908
CBF2,CIN5,0.163043
CBF2,STE12,0.222338
CBP2,MSN4,-0.082260
CBP3,MSN2,-0.074994
CBP3,SKO1,0.000000
CCA1,STE12,-0.077147
CCC1,YAP5,-0.046391
CCC2,AFT1,-0.005573
CCC2,AFT2,-0.252001
CCC2,RPN4,0.480312
CCE1,DAL81,0.109934
CCH1,RAP1,-0.036909
CCH1,STE12,0.060656
CCP1,CIN5,0.064608
CCP1,MSN2,0.083172
CCP1,MSN4,0.161620
CCP1,SKN7,-0.110128
CCP1,YAP1,0.064990
CCS1,CBF1,0.000000
CCS1,MSN2,-0.096474
CCS1,YAP1,0.130538
CCT4,HIR2,-0.200227
CCW12,FLO8,0.000000
CCW12,RAP1,0.364087
CCW12,SOK2,-0.016128
CCW12,STE12,0.000000
CCW12,TEC1,0.060806
CCW12,YAP1,0.000000
CCW12,YRM1,0.068209
CCW14,ABF1,0.109192
CCW14,RAP1,-0.256040
CCW14,RLM1,0.000000
CCW14,YRM1,-0.255539
CDA1,LEU3,0.002642
CDA1,SUM1,0.000000
CDC14,STE12,0.057171
CDC16,ABF1,0.000000
CDC16,STE12,-0.224377
CDC19,ABF1,0.000000
CDC19,GCR1,0.000000
CDC19,GCR2,0.000000
CDC19,MSN2,-0.311783
CDC19,RAP1,0.219290
CDC19,ROX1,-0.013512
CDC19,TYE7,-0.259313
CDC20,ABF1,0.254369
CDC20,BAS1,-0.046762
CDC20,PDR1,0.060473
CDC20,STE12,0.218391
CDC20,YOX1,0.000000
CDC21,MBP1,-0.215218
CDC21,SWI4,0.286881
CDC24,STE12,-0.073307
CDC24,TEC1,-0.201901
CDC26,ACE2,-0.309872
CDC26,MSN2,0.020199
CDC3,YRM1,-0.242003
CDC34,ASH1,-0.186240
CDC34,MSN2,-0.030263
CDC34,STE12,0.000000
CDC37,YAP5,-0.047812
CDC42,ABF1,0.267672
CDC45,MBP1,-0.214260
CDC45,SWI6,-0.011385
CDC48,MSN2,-0.144932
CDC48,RAP1,0.056364
CDC5,CBF1,0.179630
CDC5,MCM1,0.000000
CDC5,YOX1,0.361151
CDC53,MSN2,0.067700
CDC6,GCR2,0.190426
CDC6,MBP1,0.000000
CDC6,MCM1,0.000000
CDC6,MSN2,0.000000
CDC6,SWI4,-0.081491
CDC6,SWI5,0.273637
CDC6,TEC1,0.023076
CDC60,SOK2,0.033039
CDC60,UME6,0.000000
CDC7,ABF1,-0.129847
CDS1,ABF1,0.213458
CDS1,INO2,0.163902
CDS1,INO4,-0.030496
CEM1,BAS1,-0.016339
CEM1,YAP1,0.000000
CEX1,RAP1,-0.135384
CFD1,ABF1,0.055222
CFD1,BAS1,-0.168781
CFD1,SFP1,0.000000
CFT1,RAP1,0.000000
CFT1,STE12,-0.106805
CHA1,ABF1,0.150344
CHA1,CHA4,0.000000
CHA1,PHO4,0.139521
CHA1,STE12,-0.215302
CHC1,MSN2,0.069235
CHO1,INO4,0.101579
CHO2,ABF1,0.000000
CHO2,HSF1,-0.054276
CHO2,MSN2,0.000000
CHO2,RAP1,0.015361
CHS1,MSN2,-0.065674
CHS1,SOK2,-0.134075
CHS1,SWI4,-0.226434
CHS1,SWI5,0.263748
CHS2,FKH2,0.405676
CHS2,HAP4,-0.202502
CHS3,STE12,0.374012
CHS5,ABF1,-0.002823
CHS7,MBP1,-0.090552
CHS7,RAP1,-0.153805
CHS7,STE12,0.000000
CHS7,TEC1,0.000000
CIA2,GCN4,0.000000
CIA2,RAP1,0.155971
CIC1,PHO4,0.043305
CIK1,ABF1,0.112438
CIK1,CBF1,0.094809
CIK1,STE12,0.208790
CIN1,SKN7,0.000000
CIN1,STE12,-0.238543
CIN1,TEC1,0.000000
CIN2,MBP1,-0.219782
CIN2,STE12,0.011248
CIN4,GCN4,0.161510
CIN5,FLO8,-0.045537
CIN5,MSN2,0.000000
CIN5,SOK2,0.000000
CIN5,STE12,-0.158211
CIN5,YAP1,0.151006
CIN5,YAP6,0.035016
CIN8,HCM1,0.463194
CIS3,CBF1,0.228789
CIS3,MCM1,0.000000
CIS3,PHD1,0.000000
CIS3,PHO4,0.000000
CIS3,RAP1,0.000000
CIS3,REB1,0.027779
