substrate,tf,alpha,source
CYC3,TUP1,1.046706,teufel
CYC7,CIN5,0.065154,teufel
CYC7,HAP1,0.38773,teufel
CYC7,ROX1,0.372161,teufel
CYC8,GCN4,0.025235,yeastract_strict
CYK3,SWI5,2.364768,teufel
CYM1,MSN2,2.804248,teufel
CYR1,MSN2,1.315458,teufel
CYS3,CBF1,4.1001,yeastract_strict
CYS3,MET28,4.093361,teufel
CYS3,YAP1,6.432443,teufel
CYS4,YAP1,3.056793,teufel
CYT1,RAP1,0.754828,yeastract_strict
CYT1,STE12,0.796936,teufel
CYT2,YAP1,0.31567,teufel
DAK1,SKO1,5.645044,teufel
DAL2,DAL81,0.34509,teufel
DAL2,STE12,0.213609,teufel
DAL4,DAL81,0.148459,teufel
DAL4,STE12,0.209162,teufel
DAL4,TEC1,0.0433,teufel
DAL7,HSF1,0.131879,teufel
DAL7,LEU3,0.0398,teufel
DAL7,RAP1,0.080227,teufel
DAL7,TEC1,0.081299,teufel
DAL81,ABF1,0.502218,teufel
DAM1,CBF1,1.333344,yeastract_strict
DAP1,CIN5,0.861534,teufel
DAP1,YAP1,0.599713,teufel
DAP2,RPN4,1.533008,teufel
DAS1,FKH1,0.26143,yeastract_strict
DAS1,MAC1,0.709425,teufel
DAS2,BAS1,0.324205,teufel
DBF2,YOX1,0.178189,teufel
DBF20,GCN4,0.019689,teufel
DBP2,ABF1,1.629814,yeastract_strict
DBP2,AFT1,3.944413,teufel
DBP2,FKH1,0.678847,yeastract_strict
DBP7,STE12,0.895988,teufel
DBP8,ASH1,0.050493,teufel
DBP8,YAP1,0.314461,teufel
DBP9,ABF1,1.268375,teufel
DBP9,SWI5,0.649924,teufel
DCG1,GLN3,0.64585,teufel
DCS1,SPT23,0.852527,teufel
DCS2,GCN4,0.019038,yeastract_strict
DCW1,ABF1,4.343852,teufel
DDI1,ASH1,0.007336,teufel
DDI1,PDR1,0.036923,yeastract_strict
DDI1,RPN4,0.733775,teufel
DDR2,GCN4,0.01235,yeastract_strict
DDR2,RAP1,0.172195,teufel
DDR2,SOK2,-0.187606,teufel
DDR2,YAP1,0.120362,teufel
DDR48,GCN4,0.181476,yeastract_strict
DDR48,SOK2,0.913321,teufel
DDR48,SWI5,-0.856041,teufel
DDR48,TEC1,0.279212,teufel
DED81,GCN4,1.100519,teufel
DEF1,RPN4,2.616385,teufel
DFG10,ABF1,0.251053,teufel
DFM1,ABF1,1.09219,teufel
DFM1,PHO4,0.245709,teufel
DFR1,ABF1,0.573791,teufel
DFR1,FKH1,-0.103334,yeastract_strict
DFR1,YAP1,0.111445,yeastract_strict
DHR2,ABF1,0.477071,teufel
DIA1,ABF1,0.182462,teufel
DIA1,YAP1,0.126163,teufel
DIA2,GCN4,0.035363,yeastract_strict
DIC1,ADR1,8.98086,teufel
DIF1,MBP1,0.507446,yeastract_strict
DIF1,RAP1,0.149577,teufel
DIG1,PHD1,0.377739,teufel
DIG1,SOK2,0.15616,teufel
DIG1,STE12,0.273524,teufel
DIN7,MBP1,0.003854,teufel
DIN7,SWI6,0.326031,teufel
DIP5,ASH1,0.022971,teufel
DIP5,DAL81,0.151605,yeastract_strict
DIP5,PDR1,0.1688,teufel
DIP5,ROX1,0.157829,teufel
DIP5,SOK2,0.358287,teufel
DIP5,STP1,0.637777,teufel
DIS3,DAL82,3.716107,teufel
DJP1,STE12,0.863605,teufel
DLD1,CIN5,0.912919,teufel
DLD1,HAP1,1.59269,teufel
DLD1,MSN2,0.863902,teufel
DLD2,STE12,1.029397,teufel
DLD3,GCN4,0.273441,yeastract_strict
DLD3,SOK2,0.25519,teufel
DNM1,RAP1,0.497912,teufel
DNM1,YRM1,0.887178,teufel
DOA4,MSN2,0.558615,teufel
DOG1,ABF1,0.245978,teufel
DOM34,MSN2,2.534305,teufel
DOS2,DAL82,3.307162,teufel
DOT6,ABF1,0.74378,teufel
DOT6,MSN2,0.901228,teufel
DOT6,SOK2,0.117763,teufel
DPB2,MBP1,0.215558,teufel
DPL1,MCM1,2.004055,teufel
DPL1,STE12,1.764115,teufel
DPP1,ABF1,0.050299,teufel
DPP1,INO4,1.071196,teufel
DPS1,SKN7,16.443256,teufel
DRE2,YAP1,0.80081,teufel
DRS1,GCN4,0.088379,yeastract_strict
DRS2,STE12,1.5287,teufel
DSE1,YAP1,0.17714,yeastract_strict
DSE2,ACE2,0.735943,teufel
DSE2,STE12,0.920111,teufel
DSE3,ACE2,1.694868,teufel
DSE3,GCN4,-0.030833,yeastract_strict
DSE4,ACE2,2.393692,teufel
DSE4,YOX1,-0.261302,teufel
DSF2,STE12,0.401967,teufel
DSF2,TEC1,0.204398,teufel
DSK2,RPN4,3.955284,teufel
DSL1,PDR3,2.244582,yeastract_strict
DSN1,STE12,0.378326,teufel
DSS1,GCN4,0.015004,teufel
DSS4,ABF1,0.362835,teufel
DUG1,GCN4,0.242374,yeastract_strict
DUG3,MET32,0.335325,teufel
DUG3,RAP1,0.621084,teufel
DUN1,SWI6,0.29372,teufel
DUR1_2,DAL81,0.836586,teufel
DUR1_2,GLN3,0.523372,teufel
DUS3,RAP1,1.372568,teufel
DUS3,TEC1,0.091953,teufel
DYN1,CBF1,1.327763,yeastract_strict
DYN1,FKH1,0.964739,teufel
EAP1,RAP1,0.363645,teufel
EAP1,STE12,0.290354,teufel
EAR1,RIM101,0.563603,teufel
EBP2,ABF1,2.666677,teufel
ECI1,OAF1,0.62824,teufel
ECL1,HSF1,0.075323,teufel
ECL1,SOK2,0.609755,teufel
ECM1,ADR1,2.934016,teufel
ECM1,YOX1,0.181291,teufel
ECM10,STE12,0.415763,teufel
ECM11,GCN4,0.029238,yeastract_strict
ECM15,MSN2,7.962954,yeastract_strict
ECM22,ABF1,0.222832,teufel
ECM22,STE12,0.766145,teufel
ECM25,ABF1,0.511173,teufel
ECM3,MSN2,0.839511,teufel
ECM30,STE12,0.454207,teufel
ECM32,ACE2,0.002873,teufel
ECM32,GCN4,0.098065,teufel
ECM33,RAP1,12.095817,teufel
ECM33,STE12,13.40683,teufel
ECM33,TEC1,6.220021,teufel
ECM38,ASH1,0.058462,teufel
ECM38,SWI4,0.077161,teufel
ECM38,TUP1,0.027103,teufel
ECM38,YAP1,0.36922,teufel
ECM4,RGT1,0.072298,teufel
ECM4,YAP1,0.11619,teufel
ECM5,STE12,1.12868,teufel
ECM9,GCN4,0.01385,yeastract_strict
EDC1,YRR1,1.186423,yeastract_strict
EDC2,ABF1,0.253751,teufel
EDC2,HSF1,0.668963,teufel
EEB1,SOK2,0.548811,teufel
EFB1,ABF1,8.484498,teufel
EFB1,HSF1,8.225901,teufel
EFB1,RAP1,2.984144,teufel
EFT2,SOK2,30.68605,teufel
EGD1,RAP1,13.333229,teufel
EGD2,MET31,11.99379,yeastract_strict
EGD2,PDR1,4.081562,yeastract_strict
EGD2,ROX1,1.946173,teufel
EGT2,ACE2,2.41803,teufel
EGT2,RAP1,-0.596507,teufel
EGT2,SOK2,-0.039805,teufel
EGT2,YAP1,-0.058973,teufel
EHD3,STE12,1.429538,teufel
EHT1,YAP1,0.5056,teufel
EKI1,INO4,0.771249,teufel
ELO1,ASH1,0.27767,teufel
ELO1,GCR2,2.461483,teufel
ELO1,MBP1,0.122963,teufel
ELO1,SWI4,-0.73039,teufel
ELO1,SWI6,0.121341,teufel
ELP2,CBF1,7.317932,teufel
ELP3,SFP1,3.854363,teufel
EMC1,PDR1,2.798807,yeastract_strict
EMG1,SWI4,3.32634,teufel
EMI1,GCN4,0.129985,yeastract_strict
EMI2,MSN2,0.17604,teufel
EMI2,PDR1,0.97595,teufel
EMI2,SOK2,0.110101,teufel
EMP47,TEC1,1.478795,teufel
ENA5,YRM1,1.263182,teufel
ENB1,AFT1,0.387831,teufel
ENB1,TUP1,1.546058,teufel
ENO1,CIN5,3.918446,teufel
ENO1,PDR1,1.640946,teufel
ENO1,RAP1,1.912373,teufel
ENO2,GCR2,58.686145,teufel
ENO2,HSF1,45.75864,teufel
ENO2,RAP1,46.797838,teufel
ENP2,REB1,2.097737,yeastract_strict
ENT2,PDR1,0.745424,yeastract_strict
EPL1,RPN4,0.273429,yeastract_strict
EPT1,RAP1,0.720768,teufel
ERC1,PHO4,0.253137,teufel
ERC1,RAP1,0.094643,teufel
ERC1,TUP1,0.112546,teufel
ERG1,RAP1,4.319808,teufel
ERG11,SOK2,2.351952,teufel
ERG11,YAP1,2.861868,teufel
ERG12,REB1,0.111276,teufel
ERG12,YRM1,1.113729,teufel
ERG13,HAP1,2.286628,teufel
ERG13,RAP1,1.61255,teufel
ERG2,ECM22,2.741457,teufel
ERG2,HCM1,0.984305,teufel
ERG2,MOT3,3.316888,teufel
ERG20,INO4,5.607207,teufel
ERG24,DAL82,5.779852,teufel
ERG25,SOK2,6.091281,teufel
ERG25,STE12,0.297197,teufel
ERG25,TEC1,1.090393,teufel
ERG25,YAP1,2.102073,teufel
ERG26,MSN2,0.597934,yeastract_strict
ERG26,RPN4,1.914977,yeastract_strict
ERG27,MSN2,1.936458,yeastract_strict
ERG27,PDR1,1.315925,teufel
ERG28,ECM22,0.708187,teufel
ERG28,SOK2,0.085827,teufel
ERG28,YAP1,0.122601,teufel
ERG3,ECM22,1.001141,teufel
ERG3,MCM1,1.027382,teufel
ERG4,ECM22,0.419046,teufel
ERG4,GCR1,0.683819,teufel
ERG4,RPN4,5.146432,teufel
ERG5,HAP1,0.661048,teufel
ERG5,SOK2,0.669377,teufel
ERG5,YAP1,0.401951,teufel
ERG6,ACE2,0.10431,teufel
ERG6,MOT3,5.591437,yeastract_strict
ERG6,MSN2,4.634373,teufel
ERG8,CAD1,3.11826,teufel
ERG8,HAP1,3.206866,teufel
ERG9,HAP1,1.416219,teufel
ERG9,MSN2,3.503382,teufel
ERJ5,HAC1,0.044675,yeastract_strict
ERO1,YAP1,0.517303,teufel
ERP2,ABF1,1.253866,teufel
ERP2,MSN2,0.743566,teufel
ERP5,YHP1,1.916055,teufel
ERT1,STE12,0.366572,teufel
ERV14,MSN2,3.881319,teufel
ERV15,CIN5,0.755453,teufel
ERV25,ABF1,6.702386,teufel
ERV29,RAP1,1.943516,teufel
ERV46,ABF1,4.311224,teufel
ERV46,YRR1,6.355895,yeastract_strict
ESBP6,ARO80,0.213691,teufel
ESBP6,GCN4,0.016086,teufel
ESC8,ABF1,0.23885,teufel
ESF1,ABF1,0.062848,teufel
ESF1,STE12,0.587589,teufel
ESF1,YRM1,2.271696,teufel
ESF2,SFP1,2.529004,teufel
EST3,STE12,0.686603,teufel
ETT1,YAP1,0.670638,yeastract_strict
EUG1,HAC1,0.077444,teufel
EXG1,ACE2,2.781482,teufel
EXG1,SWI4,3.057033,teufel
EXG2,TEC1,0.238316,teufel
EXG2,YAP1,0.586134,yeastract_strict
EXO5,ABF1,0.336487,teufel
EXO70,GCN4,0.021352,yeastract_strict
FAA1,MSN2,0.297458,teufel
FAA1,RAP1,0.041101,teufel
FAA1,SPT23,2.150754,teufel
FAA3,ACE2,1.085053,teufel
FAA3,STE12,-0.056859,teufel
FAA4,SPT23,0.227211,teufel
FAA4,YAP1,1.196349,yeastract_strict
FAB1,CBF1,4.498904,yeastract_strict
FAF1,RAP1,1.320355,teufel
FAL1,RAP1,0.384015,teufel
FAP7,YAP1,0.860539,teufel
FAR1,MCM1,0.680728,teufel
FAR8,INO4,0.565647,teufel
FAS1,INO4,1.911021,teufel
FAS1,MSN2,0.695685,teufel
FAS1,OPI1,4.692935,teufel
FAS2,INO4,7.008756,teufel
FAS2,OPI1,5.567024,teufel
FAS2,RAP1,0.051488,teufel
FAT1,MCM1,1.14745,teufel
FAU1,SFP1,1.944061,teufel
FBA1,GCN4,8.54941,teufel
FBA1,TUP1,-4.155892,teufel
FBP26,CBF1,0.929707,yeastract_strict
FCF1,ABF1,1.011003,teufel
FCF1,MSN2,0.362614,teufel
FCF2,ABF1,0.897385,teufel
FCF2,PUT3,0.720695,teufel
FCY2,ABF1,1.348457,yeastract_strict
FCY2,MSN2,2.654398,teufel
FCY2,RAP1,0.674015,teufel
FCY2,TUP1,0.628856,teufel
FEN2,YAP1,0.111335,yeastract_strict
FES1,HSF1,0.355737,teufel
FES1,RPN4,0.640172,yeastract_strict
FES1,SPT23,0.041889,teufel
FET3,AFT1,7.366795,teufel
FET3,STE12,2.026685,teufel
FET4,AFT1,0.116617,teufel
FET4,STE12,0.351366,teufel
FET4,TEC1,0.199476,teufel
FET5,AFT2,3.368964,teufel
FHN1,STE12,0.431802,teufel
FIG1,PDR1,0.415849,yeastract_strict
FIG1,SUM1,0.380685,teufel
FIG2,STE12,3.646454,teufel
FIG2,TEC1,0.203919,teufel
FIG4,MSN2,0.670484,teufel
FIN1,ABF1,0.238198,teufel
FIP1,ABF1,0.359426,teufel
FIP1,STE12,0.182574,teufel
FIR1,RAP1,0.387266,teufel
FIT2,AFT1,5.441264,teufel
FIT2,ASH1,-0.166215,teufel
FIT2,CIN5,0.808805,teufel
FIT3,AFT1,3.115259,teufel
FIT3,PUT3,0.991047,teufel
FKH2,RAP1,0.965182,teufel
FKS1,MBP1,0.393171,yeastract_strict
FKS1,STE12,4.474776,teufel
FKS1,SWI4,7.689542,teufel
FLC1,MSN2,1.616471,teufel
FLC1,RAP1,0.342413,teufel
FLC2,BAS1,0.783488,teufel
FLC2,MSN2,0.167317,yeastract_strict
FLC2,SOK2,1.109178,teufel
FLD1,STE12,0.915991,teufel
FLO8,STE12,0.393995,teufel
FLO8,TEC1,0.151441,teufel
FLR1,YAP1,0.229445,teufel
FMC1,NRG1,1.125584,teufel
FMP23,GCN4,0.017989,teufel
FMP25,YAP1,0.352458,teufel
FMP40,FHL1,0.451125,teufel
FMP40,STE12,0.446339,teufel
FMP43,AFT1,0.161734,teufel
FMP43,REB1,0.057783,teufel
FMP43,SKO1,0.01643,teufel
FMP52,ASH1,0.306283,teufel
FOB1,SWI5,0.78916,teufel
FOL1,MSS11,3.695465,teufel
FOL2,GCN4,0.134861,teufel
FOX2,ABF1,0.232687,teufel
FOX2,ADR1,0.062777,teufel
FOX2,OAF1,0.015671,teufel
FPK1,RAP1,0.335609,teufel
FPR1,YAP1,6.685763,teufel
FPR2,INO4,2.227717,yeastract_strict
FPR4,FKH1,5.632089,yeastract_strict
FPR4,TEC1,3.335008,teufel
FPS1,MIG1,3.515595,teufel
FRE1,AFT1,0.400371,teufel
FRE1,RAP1,0.658311,teufel
FRE3,PDR1,0.0415,yeastract_strict
FRE3,STE12,0.420888,teufel
FRE3,YOX1,0.085293,teufel
FRE6,AFT1,0.309728,teufel
FRE6,RAP1,0.353275,teufel
FRQ1,CST6,0.633552,teufel
FRQ1,ECM22,0.573407,teufel
FRQ1,RPN4,0.508785,yeastract_strict
FRS1,BAS1,3.924215,teufel
FRS1,PDR1,2.540341,teufel
FRS2,GCN4,0.311137,yeastract_strict
FRT1,STE12,0.498633,teufel
FRT1,TEC1,0.070673,teufel
FSF1,LEU3,4.691901,teufel
FSF1,MSN2,2.581483,teufel
FSH1,HSF1,0.483588,teufel
FSH1,SKO1,1.788143,teufel
FSH1,SOK2,0.526607,teufel
FSH2,STE12,1.393494,teufel
FSH3,RFX1,2.271998,teufel
FTH1,HSF1,0.670959,teufel
FTR1,AFT1,3.799525,teufel
FTR1,SOK2,0.662937,teufel
FTR1,TUP1,1.585184,teufel
FUI1,CRZ1,0.942802,yeastract_strict
FUI1,RAP1,0.80596,teufel
FUN19,SOK2,0.681688,teufel
FUN26,MCM1,1.186651,teufel
FUN26,PDR1,1.454615,yeastract_strict
FUN30,STE12,1.002478,teufel
FUR1,RAP1,4.778805,teufel
FUR4,ABF1,0.341114,teufel
FUR4,TEC1,0.241086,teufel
FUS1,STE12,0.722335,teufel
FUS1,TEC1,0.127601,teufel
FUS2,STE12,0.681695,teufel
FUS2,TEC1,0.073188,teufel
FUS3,MSN2,0.090963,teufel
FUS3,STE12,0.311068,teufel
FUS3,TEC1,0.376959,teufel
FYV4,STE12,1.073495,teufel
FYV6,STE12,0.425998,teufel
FYV6,TEC1,0.145208,teufel
FYV7,MET28,1.058214,teufel
FZO1,ABF1,0.06085,teufel
FZO1,YAP1,0.134342,teufel
GAD1,GCN4,0.023726,teufel
GAL11,RAP1,0.477691,teufel
GAP1,GAT1,0.094444,yeastract_strict
GAP1,SOK2,0.115188,teufel
GAP1,TEC1,0.007699,teufel
GAP1,YAP1,0.097089,teufel
GAR1,CBF1,15.838595,teufel
GAR1,YRR1,10.422543,yeastract_strict
GAS1,ASH1,2.299028,teufel
GAS1,MSN2,14.33791,yeastract_strict
GAS1,YRR1,16.512466,yeastract_strict
GAS3,FKH1,-1.711947,teufel
GAS3,SWI6,3.567275,teufel
GAT1,ACE2,0.210733,teufel
GAT1,GAT1,0.277628,yeastract_strict
GAT1,GCN4,0.014386,teufel
GAT2,GCN4,0.034204,teufel
GAT2,SOK2,-0.101289,teufel
GCD1,RPN4,3.514122,teufel
GCD11,REB1,6.145839,teufel
GCD6,ABF1,1.29228,yeastract_strict
GCD6,STE12,0.567611,teufel
GCD6,TEC1,0.16876,teufel
GCN1,ABF1,1.260751,teufel
GCN1,RPN4,4.859554,teufel
GCN1,STE12,1.013453,teufel
GCN2,ABF1,1.157731,teufel
GCN20,STE12,6.125585,teufel
GCN4,STP1,21.321608,teufel
GCR1,RAP1,1.05953,teufel
GCS1,PHO2,8.173051,teufel
GCV1,BAS1,0.842373,teufel
GCV2,GCN4,0.083542,teufel
GCV2,YAP1,0.006501,teufel
GCV3,ABF1,2.333776,teufel
GCV3,BAS1,1.228688,teufel
GCV3,YAP1,1.082241,teufel
GCY1,CIN5,0.625084,teufel
GCY1,REB1,0.570397,teufel
GDA1,BAS1,6.354304,teufel
GDB1,CIN5,0.272485,teufel
GDB1,PDR1,0.162485,teufel
GDB1,SPT23,0.053151,teufel
GDE1,PHO4,0.551121,teufel
GDE1,YRR1,0.596008,yeastract_strict
GDH1,CIN5,1.701313,teufel
GDH1,GLN3,2.353769,teufel
GDH1,LEU3,4.453631,teufel
GDH1,MSN2,1.027298,teufel
GDH1,SOK2,1.046119,teufel
GDH2,GAT1,0.058284,teufel
GDH2,GCN4,0.040943,teufel
GDH3,ARR1,0.068332,teufel
GDH3,SKN7,0.021598,teufel
GDH3,SOK2,0.185754,teufel
GDH3,SWI5,0.158941,teufel
GDH3,YOX1,0.006801,teufel
GDI1,MSN2,3.335156,teufel
GDS1,MCM1,0.091224,teufel
GDS1,RAP1,1.036224,teufel
GDS1,YRR1,0.087478,yeastract_strict
GEA2,RPN4,0.476828,teufel
GEA2,YRM1,1.527739,teufel
GEF1,STE12,1.138103,teufel
GFA1,MCM1,2.473322,teufel
GFA1,MSN2,1.277326,teufel
GFD1,MSN2,1.110615,teufel
GGC1,GCN4,0.108175,teufel
GIC1,STE12,0.653696,teufel
GIC2,ASH1,0.064147,teufel
GIC2,FHL1,0.39145,teufel
GIC2,PHD1,0.149387,teufel
GIC2,RAP1,0.665401,teufel
GIC2,SOK2,0.116073,teufel
GIC2,TEC1,0.454794,teufel
GID7,STE12,0.752573,teufel
GID8,GCN4,0.084922,teufel
GID8,SOK2,-0.254546,teufel
GIM3,RAP1,2.191627,teufel
GIM5,CIN5,2.905884,teufel
GIN4,SWI4,1.039407,yeastract_strict
GIR2,RPN4,3.796698,yeastract_strict
GIS1,MSN2,0.361451,teufel
GIS1,RDS2,0.293288,teufel
GIS1,YRR1,0.070244,yeastract_strict
GIS2,ABF1,6.315621,teufel
GIS3,RAP1,0.422266,teufel
GIS3,STE12,0.257991,teufel
GIS3,STP1,0.005381,teufel
GIS4,YOX1,0.282096,teufel
GLC3,GCN4,0.018659,yeastract_strict
GLC7,MCM1,2.188714,teufel
GLE2,CBF1,4.306972,yeastract_strict
GLK1,GCR1,1.798488,teufel
GLK1,MSN2,1.853665,teufel
GLN1,FKH1,-0.110703,teufel
GLN1,MSN1,0.53462,teufel
GLN1,RAP1,2.266472,teufel
GLN1,YOX1,1.934057,teufel
GLN3,GCN4,0.023726,teufel
GLO1,ABF1,1.409711,teufel
GLO1,ACE2,0.769983,teufel
GLO4,STE12,0.473016,teufel
GLR1,YAP1,2.314444,teufel
GLT1,GCN4,0.057941,teufel
GLY1,GCN4,0.052369,teufel
GLY1,RAP1,-0.041417,teufel
GLY1,SOK2,0.034232,teufel
GLY1,YAP1,-0.085234,teufel
GMH1,ABF1,0.249142,teufel
GND1,CIN5,2.591063,teufel
GND1,SUM1,3.632299,teufel
GND1,YAP1,0.611043,teufel
GND2,YAP1,0.134924,yeastract_strict
GNP1,GCN4,0.197983,teufel
GNP1,SOK2,0.114367,teufel
GON7,ABF1,1.976684,teufel
GOR1,STB5,1.039063,teufel
GOS1,REB1,0.714953,teufel
GPA1,STE12,0.8445,teufel
GPA1,TEC1,0.126759,teufel
GPA2,CBF1,0.244463,yeastract_strict
GPA2,SOK2,0.586187,teufel
GPD1,GCN4,0.071147,yeastract_strict
GPD1,HOT1,0.085689,teufel
GPD1,RAP1,0.190748,teufel
GPD2,GCN4,0.082887,teufel
GPH1,CIN5,0.088922,teufel
GPH1,HSF1,0.149531,yeastract_strict
GPI12,UME6,0.425589,teufel
GPI17,ABF1,1.123225,teufel
GPI8,YRR1,0.870743,yeastract_strict
GPM1,GCR2,42.852286,teufel
GPM1,HSF1,29.345408,teufel
GPM1,RAP1,23.782568,teufel
GPM2,CIN5,0.213203,teufel
GPM2,GCN4,0.013,teufel
GPR1,GCN4,0.082003,yeastract_strict
GPT2,YAP1,0.464492,teufel
GPX1,CIN5,0.003517,teufel
GPX1,RPN4,0.047771,teufel
GPX1,STE12,0.315363,teufel
GPX2,CRZ1,1.800322,teufel
GPX2,YAP1,0.295096,teufel
GRE2,SKO1,0.22575,teufel
GRE2,SOK2,0.377357,teufel
GRE2,YAP1,0.458171,teufel
GRE3,HSF1,0.739904,teufel
GRE3,MSN2,0.337842,teufel
GRH1,ABF1,1.087889,teufel
GRS1,SFP1,22.336587,teufel
GRS2,BAS1,1.596928,teufel
GRX1,YRR1,10.236598,yeastract_strict
GRX2,GCN4,0.165241,yeastract_strict
GRX3,SOK2,4.618492,teufel
GRX6,MSN2,2.7365,teufel
GRX7,STE12,2.004955,teufel
GSC2,RAP1,0.781415,teufel
GSC2,STE12,0.175242,teufel
GSC2,SWI4,0.323691,teufel
GSF2,RPN4,2.008087,teufel
GSH1,MET4,0.951955,teufel
GSH1,YAP1,0.212665,teufel
GSH2,YAP1,2.038032,teufel
GSM1,STE12,0.051551,teufel
GSM1,UME6,0.279947,teufel
GSP1,HSF1,12.636536,teufel
GSP2,GCN4,0.028956,yeastract_strict
GSY1,IXR1,0.20774,teufel
GSY1,MSN2,0.174854,teufel
GSY1,NRG1,0.225592,teufel
GSY2,YAP1,0.155693,teufel
GTO1,YAP1,0.113543,teufel
GTR1,YAP1,0.253099,teufel
GTT1,SOK2,1.322997,teufel
GTT2,STE12,0.033697,teufel
GTT2,YAP1,0.209078,teufel
GTT3,ABF1,0.484891,teufel
GTT3,RAP1,0.026505,teufel
GUA1,ABF1,7.135713,teufel
GUF1,ACE2,0.256478,teufel
GUP1,RAP1,0.83703,teufel
GUT1,ADR1,0.334608,teufel
GUT1,RAP1,0.659222,teufel
GUT2,ADR1,0.154789,teufel
GUT2,FHL1,0.422092,teufel
GVP36,ABF1,4.633235,teufel
GYL1,YAP6,1.200247,teufel
GYP1,HCM1,0.0993,teufel
GYP1,SOK2,0.422014,teufel
GYP5,STE12,1.829132,teufel
GYP8,GCN4,0.020018,yeastract_strict
GYP8,YAP1,0.061521,teufel
GZF3,GAT1,0.738755,teufel
HAA1,RAP1,0.344568,teufel
HAA1,STE12,0.138278,teufel
HAC1,CBF1,8.87191,teufel
HAC1,MSN2,3.154607,teufel
HAC1,STE12,14.923987,teufel
HAL5,YRM1,1.267875,teufel
HAP1,ABF1,0.040786,teufel
HAP1,YAP1,0.118843,teufel
HAP3,IXR1,1.357506,yeastract_strict
HAS1,FKH1,1.341687,yeastract_strict
HAS1,MSN2,4.196215,teufel
HAT1,CBF1,0.872397,yeastract_strict
HAT2,IXR1,0.031427,teufel
HAT2,RAP1,1.139533,teufel
HBN1,YAP1,0.172642,teufel
HCH1,HSF1,3.044465,teufel
HCM1,RAP1,0.370006,teufel
HCM1,SWI4,0.437883,teufel
HCR1,AFT2,15.810877,teufel
HCS1,RAP1,0.435,teufel
HDA3,CIN5,0.80037,teufel
HEK2,ABF1,0.285956,teufel
HEK2,HCM1,0.560912,teufel
HEK2,YAP1,0.353217,teufel
HEK2,YOX1,0.044884,teufel
HEM1,HAP3,1.765093,teufel
HEM1,MSN2,1.060452,teufel
HEM12,PDR1,0.856524,yeastract_strict
HEM12,STP1,2.803326,teufel
HEM13,IXR1,0.029146,yeastract_strict
HEM13,RAP1,0.502499,teufel
HEM13,STE12,0.161898,teufel
HEM15,INO4,1.511187,yeastract_strict
HEM2,CBF1,5.936809,teufel
HEM3,STE12,0.830718,teufel
HEM4,CIN5,0.811324,teufel
HER1,YAP1,0.279965,teufel
HFD1,GCN4,0.046632,yeastract_strict
HFI1,ABF1,0.432571,teufel
HFM1,UME6,0.474043,yeastract_strict
HGH1,AFT1,1.795084,teufel
HHF1,FKH2,-6.803231,teufel
HHF1,HSF1,11.31735,teufel
HHF2,SWI4,2.255329,teufel
HHF2,YAP1,1.798117,teufel
HHF2,YOX1,5.737253,teufel
HHO1,SWI4,1.232172,teufel
HHO1,SWI6,0.703947,teufel
HHT1,FKH2,-10.575799,teufel
HHT1,YAP1,7.816137,yeastract_strict
HHT2,SWI4,9.015655,teufel
HHT2,SWI6,4.105033,teufel
HHT2,YOX1,7.748899,teufel
HIP1,SFP1,1.78868,teufel
HIP1,STE12,2.760105,teufel
HIR2,CBF1,0.565757,yeastract_strict
HIR2,SOK2,0.30318,teufel
HIS1,GCN4,0.512596,teufel
HIS1,SOK2,-1.741538,teufel
HIS1,TUP1,0.254836,teufel
HIS2,STE12,1.728367,teufel
HIS3,GCN4,0.062315,teufel
HIS4,GCN4,0.219898,teufel
HIS4,RAP1,0.110447,teufel
HIS5,GCN4,0.07017,teufel
HIS6,NRG1,2.15472,teufel
HIS7,ABF1,0.707376,teufel
HIS7,GCN4,0.110734,teufel
HIT1,SOK2,0.287634,teufel
HKR1,MSN2,1.193027,yeastract_strict
HLR1,MSN2,0.484298,yeastract_strict
HLR1,TEC1,0.084604,teufel
HMF1,CBF1,3.985258,teufel
HMF1,RAP1,2.514286,teufel
HMG1,HAP1,0.118732,teufel
HMG1,MSN2,0.74339,teufel
HMG1,SOK2,0.543717,teufel
HMG2,ABF1,1.001598,teufel
HMO1,ABF1,3.002136,teufel
HMRA1,RAP1,0.666152,teufel
HMS2,GCN4,0.027259,teufel
HMS2,RAP1,0.011376,teufel
HMS2,STE12,0.020476,teufel
HMX1,AFT2,0.414327,teufel
HMX1,HAP1,0.839692,teufel
HNM1,MAC1,12.063227,teufel
HNT1,ABF1,2.080717,teufel
HNT1,INO4,5.890646,yeastract_strict
HNT3,INO4,0.329768,yeastract_strict
HO,ACE2,0.418786,teufel
HO,ASH1,0.196255,teufel
HO,MBP1,-0.0049,teufel
HOC1,RAP1,1.454349,teufel
HOF1,ABF1,0.633241,teufel
HOG1,PHD1,0.483964,teufel
HOG1,YAP1,0.674775,teufel
HOM2,HSF1,2.589873,teufel
HOM2,REB1,4.236207,teufel
HOM3,GCN4,0.10099,teufel
HOM6,RAP1,8.421322,teufel
HOR2,RAP1,0.420627,teufel
HOR2,SOK2,0.137613,teufel
HOR7,GCN4,0.22307,teufel
HOR7,PDR1,3.33279,teufel
HOR7,TEC1,2.888724,teufel
HOS2,STE12,2.918076,teufel
HOS2,TEC1,0.331015,teufel
HOS3,FKH1,-0.368558,teufel
